,Time,Action,Team
227,00:39,"Assist by ARONSKY,DANIELLA",Emory
228,00:23,"GIBBS,SAVANNAH made layup",Opponent
229,00:23,"Assist by CHINTALA,ANISHA",Opponent
230,00:05,"Foul by MATSKO,MEGAN",Opponent
231,00:05,"AUZA,MARIANE
                                 goes to the bench",Emory
232,00:05,"MARTINI,KATHERINE
                                 goes to the bench",Emory
233,00:05,"GROSS,PAIGE
                                 enters the game",Emory
234,00:05,"BROCK,CLAIRE
                                 enters the game",Emory
235,10:00,"GROSS,PAIGE
                                 goes to the bench",Emory
236,10:00,"GERY,LILAH
                                 goes to the bench",Emory
237,10:00,"AUZA,MARIANE
                                 enters the game",Emory
238,10:00,"LAUDICK,MORGAN
                                 enters the game",Emory
239,10:00,"BLACK,AVA
                                 goes to the bench",Opponent
240,10:00,"ANGWIN,ELLEN
                                 enters the game",Opponent
241,09:53,"GIBBS,SAVANNAH missed jump shot",Opponent
242,09:53,"Block by LAUDICK,MORGAN",Emory
243,09:46,"MARTIN,ERIN defensive rebound",Emory
244,09:45,"AUZA,MARIANE made layup",Emory
245,09:45,"Assist by LAUDICK,MORGAN",Emory
246,09:28,"GIBBS,SAVANNAH missed layup",Opponent
247,09:28,"Block by MARTIN,ERIN",Emory
248,09:23,"LAUDICK,MORGAN defensive rebound",Emory
249,09:19,"Turnover by MARTIN,ERIN",Emory
250,08:54,"MATSKO,MEGAN missed layup",Opponent
251,08:51,"BROCK,CLAIRE defensive rebound",Emory
252,08:45,"AUZA,MARIANE missed jump shot",Emory
253,08:41,"MATSKO,MEGAN defensive rebound",Opponent
254,08:28,"Turnover by CHINTALA,ANISHA",Opponent
255,08:28,"ANGWIN,ELLEN
                                 goes to the bench",Opponent
256,08:28,"NAMBISAN,ISHA
                                 enters the game",Opponent
257,08:14,"BROCK,CLAIRE made 3-pt. jump shot",Emory
258,08:14,"Assist by LAUDICK,MORGAN",Emory
259,08:08,30SEC TIMEOUT by Carnegie Mellon,Opponent
260,07:55,"Foul by MARTIN,ERIN",Emory
261,07:55,"OR,CATHERINE made free throw",Opponent
262,07:55,"OR,CATHERINE made free throw",Opponent
263,07:28,"Turnover by ARONSKY,DANIELLA",Emory
264,07:12,"OR,CATHERINE missed 3-pt. jump shot",Opponent
265,07:07,"LAUDICK,MORGAN defensive rebound",Emory
266,06:57,"MARTIN,ERIN missed layup",Emory
267,06:55,"OR,CATHERINE defensive rebound",Opponent
268,06:32,"MATSKO,MEGAN made 3-pt. jump shot",Opponent
269,06:32,"Assist by GIBBS,SAVANNAH",Opponent
270,06:03,"MARTIN,ERIN missed jump shot",Emory
271,06:00,"NAMBISAN,ISHA defensive rebound",Opponent
272,05:41,"OR,CATHERINE made 3-pt. jump shot",Opponent
273,05:41,"Assist by NAMBISAN,ISHA",Opponent
274,05:33,"AUZA,MARIANE
                                 goes to the bench",Emory
275,05:33,"LAUDICK,MORGAN
                                 goes to the bench",Emory
276,05:33,"BROCK,CLAIRE
                                 goes to the bench",Emory
277,05:33,"KENNEDY,LILY
                                 enters the game",Emory
278,05:33,"GROSS,PAIGE
                                 enters the game",Emory
279,05:33,"MUNSON,IZZY
                                 enters the game",Emory
280,05:33,"CHINTALA,ANISHA
                                 goes to the bench",Opponent
281,05:33,"PRASAD,ANIKA
                                 enters the game",Opponent
282,05:27,"ARONSKY,DANIELLA missed layup",Emory
283,05:27,"Block by GIBBS,SAVANNAH",Opponent
284,05:24,"GIBBS,SAVANNAH defensive rebound",Opponent
285,05:14,"GIBBS,SAVANNAH made layup",Opponent
286,05:14,"Assist by PRASAD,ANIKA",Opponent
