,Time,Action,Team
348,02:33,"ARONSKY,DANIELLA defensive rebound",Emory
349,02:26,"KENNEDY,LILY
                                 goes to the bench",Emory
350,02:26,"BROCK,CLAIRE
                                 enters the game",Emory
351,02:26,"GILL,PREET
                                 goes to the bench",Opponent
352,02:26,"MOORE,NYAH
                                 goes to the bench",Opponent
353,02:26,"PLACHTA,EMILY
                                 enters the game",Opponent
354,02:26,"CHARACKLIS,KAYLA
                                 enters the game",Opponent
355,02:18,"Turnover by ARONSKY,DANIELLA",Emory
356,02:00,"MILLS,ISABELLA missed layup",Opponent
357,01:58,"MILLS,ISABELLA offensive rebound",Opponent
358,01:58,"MILLS,ISABELLA missed layup",Opponent
359,01:58,TEAM defensive rebound,Emory
360,01:47,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
361,01:43,"VANDERBECK,LUCY defensive rebound",Opponent
362,01:27,"CHARACKLIS,KAYLA missed layup",Opponent
363,01:25,"CHARACKLIS,KAYLA offensive rebound",Opponent
364,01:19,"MILLS,ISABELLA made jump shot",Opponent
365,01:19,"Assist by PLACHTA,EMILY",Opponent
366,01:09,"BROCK,CLAIRE missed layup",Emory
367,01:06,"MITCHELL,SARAH defensive rebound",Opponent
368,01:01,"VANDERBECK,LUCY missed 3-pt. jump shot",Opponent
369,00:58,"LAUDICK,MORGAN defensive rebound",Emory
370,00:52,"LAUDICK,MORGAN made 3-pt. jump shot",Emory
371,00:52,"Assist by ARONSKY,DANIELLA",Emory
372,00:26,"CHARACKLIS,KAYLA made layup",Opponent
373,00:01,"BROCK,CLAIRE made jump shot",Emory
374,10:00,"ARONSKY,DANIELLA
                                 goes to the bench",Emory
375,10:00,"LAUDICK,MORGAN
                                 goes to the bench",Emory
376,10:00,"GROSS,PAIGE
                                 enters the game",Emory
377,10:00,"MUNSON,IZZY
                                 enters the game",Emory
378,10:00,"MILLS,ISABELLA
                                 goes to the bench",Opponent
379,10:00,"TERRY,MARGARET
                                 enters the game",Opponent
380,09:39,"Turnover by VANDERBECK,LUCY",Opponent
381,09:10,"BROCK,CLAIRE missed layup",Emory
382,09:06,"TERRY,MARGARET defensive rebound",Opponent
383,09:00,"TERRY,MARGARET made layup",Opponent
384,08:47,"MARTIN,ERIN missed layup",Emory
385,08:45,"MITCHELL,SARAH defensive rebound",Opponent
386,08:41,"PLACHTA,EMILY missed 3-pt. jump shot",Opponent
387,08:37,"BROCK,CLAIRE defensive rebound",Emory
388,08:25,"AUZA,MARIANE missed layup",Emory
389,08:22,"TERRY,MARGARET defensive rebound",Opponent
390,08:13,"Turnover by TERRY,MARGARET",Opponent
391,08:13,"Steal by AUZA,MARIANE",Emory
392,08:09,"MUNSON,IZZY made layup",Emory
393,08:09,"Assist by AUZA,MARIANE",Emory
394,08:06,30SEC TIMEOUT by Opponent,Emory
395,08:06,"AUZA,MARIANE
                                 goes to the bench",Emory
396,08:06,"MARTIN,ERIN
                                 goes to the bench",Emory
397,08:06,"ARONSKY,DANIELLA
                                 enters the game",Emory
398,08:06,"LAUDICK,MORGAN
                                 enters the game",Emory
399,08:06,"VANDERBECK,LUCY
                                 goes to the bench",Opponent
400,08:06,"MILLS,ISABELLA
                                 enters the game",Opponent
401,07:48,"CHARACKLIS,KAYLA missed layup",Opponent
402,07:46,"ARONSKY,DANIELLA defensive rebound",Emory
403,07:38,"Foul by CHARACKLIS,KAYLA",Opponent
404,07:31,"Turnover by ARONSKY,DANIELLA",Emory
405,07:31,"Steal by CHARACKLIS,KAYLA",Opponent
406,07:19,"PLACHTA,EMILY made layup",Opponent
407,07:19,"Assist by MITCHELL,SARAH",Opponent
408,07:05,"MUNSON,IZZY missed layup",Emory
409,07:01,"CHARACKLIS,KAYLA defensive rebound",Opponent
410,06:56,"PLACHTA,EMILY missed 3-pt. jump shot",Opponent
411,06:54,"ARONSKY,DANIELLA defensive rebound",Emory
412,06:50,"ARONSKY,DANIELLA made layup",Emory
413,06:38,"CHARACKLIS,KAYLA made layup",Opponent
414,06:26,"MUNSON,IZZY missed layup",Emory
415,06:26,"MUNSON,IZZY offensive rebound",Emory
416,06:26,"Foul by PLACHTA,EMILY",Opponent
417,06:26,"GROSS,PAIGE
                                 goes to the bench",Emory
418,06:26,"MUNSON,IZZY
                                 goes to the bench",Emory
419,06:26,"KENNEDY,LILY
                                 enters the game",Emory
420,06:26,"MARTIN,ERIN
                                 enters the game",Emory
421,06:26,"CHARACKLIS,KAYLA
                                 goes to the bench",Opponent
422,06:26,"GILL,PREET
                                 enters the game",Opponent
423,06:23,"MARTIN,ERIN made layup",Emory
424,06:23,"Assist by ARONSKY,DANIELLA",Emory
425,06:12,"Foul by MARTIN,ERIN",Emory
426,06:12,"MITCHELL,SARAH missed free throw",Opponent
427,06:12,TEAM deadball rebound,Opponent
428,06:12,"MITCHELL,SARAH made free throw",Opponent
429,05:48,"MARTIN,ERIN missed layup",Emory
430,05:46,"TERRY,MARGARET defensive rebound",Opponent
431,05:46,"Foul by MARTIN,ERIN",Emory
432,05:46,"MARTIN,ERIN
                                 goes to the bench",Emory
433,05:46,"GROSS,PAIGE
                                 enters the game",Emory
434,05:26,"TERRY,MARGARET missed 3-pt. jump shot",Opponent
435,05:21,"GILL,PREET offensive rebound",Opponent
436,05:18,"MITCHELL,SARAH missed jump shot",Opponent
437,05:13,"KENNEDY,LILY defensive rebound",Emory
438,05:07,"BROCK,CLAIRE made jump shot",Emory
439,04:41,"MITCHELL,SARAH missed jump shot",Opponent
440,04:38,"GROSS,PAIGE defensive rebound",Emory
441,04:33,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
442,04:27,"LAUDICK,MORGAN offensive rebound",Emory
443,04:20,"Foul by GILL,PREET",Opponent
444,04:20,"MITCHELL,SARAH
                                 goes to the bench",Opponent
445,04:20,"VANDERBECK,LUCY
                                 enters the game",Opponent
446,04:20,"GROSS,PAIGE made free throw",Emory
447,04:20,"GROSS,PAIGE made free throw",Emory
448,04:20,"KENNEDY,LILY
                                 goes to the bench",Emory
449,04:20,"AUZA,MARIANE
                                 enters the game",Emory
450,04:02,"Foul by LAUDICK,MORGAN",Emory
451,04:02,"GILL,PREET made free throw",Opponent
452,04:02,"GILL,PREET missed free throw",Opponent
453,04:02,"AUZA,MARIANE defensive rebound",Emory
454,03:47,"GROSS,PAIGE made layup",Emory
455,03:47,"Assist by AUZA,MARIANE",Emory
456,03:32,"MILLS,ISABELLA missed 3-pt. jump shot",Opponent
457,03:28,"BROCK,CLAIRE defensive rebound",Emory
458,03:07,"LAUDICK,MORGAN made 3-pt. jump shot",Emory
459,03:07,"Assist by BROCK,CLAIRE",Emory
460,02:54,"Foul by ARONSKY,DANIELLA",Emory
461,02:54,"AUZA,MARIANE
                                 goes to the bench",Emory
462,02:54,"LAUDICK,MORGAN
                                 goes to the bench",Emory
463,02:54,"MARTINI,KATHERINE
                                 enters the game",Emory
464,02:54,"MUNSON,IZZY
                                 enters the game",Emory
465,02:54,"TERRY,MARGARET
                                 goes to the bench",Opponent
