,Lineup,GP,MP,PTS,OPP PTS,+/-,AST,OREB,OPP OREB,DREB,FG%,FGA,OPP FG%,OPP FGA,3P%,3PA,OPP 3P%,3PA,FTA,FT%,TO,OPP TO,STL,BLK,PF,OPP PF
87,"Alec Bryan, Brandon Beckman, Ryan Martin, Thomas Kurowski, Zach Munson",1,2.28,2,3,-1,1,1,2,2,0.25,4,0.33,6,0.0,2,0.0,2,0,0.0,1,1,0,1,1,0
88,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Leonardo Edo, Ryan Martin",1,2.27,2,1,1,0,0,1,2,0.33,3,0.25,4,0.0,1,0.0,0,1,0.0,1,1,0,0,1,1
89,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Leonardo Edo, Skyler Twyman",2,2.25,4,3,1,0,1,0,2,0.6,5,0.5,4,0.0,0,0.0,1,2,1.0,0,1,0,0,1,1
90,"Brandon Beckman, Bryce Hopkins, Elliot Paschal, Leonardo Edo, Ryan Martin",3,2.25,6,1,5,1,1,0,3,0.5,8,0.25,4,0.0,2,0.0,1,3,0.67,0,2,1,0,1,3
91,"Arrish Bhandal, Jackson Piotrowski, Ryan Martin, Skyler Twyman, Thomas Kurowski",1,2.22,8,3,5,1,0,0,1,0.8,5,0.5,4,1.0,1,0.0,0,2,0.5,0,1,1,1,1,2
92,"Arrish Bhandal, Brandon Beckman, Leonardo Edo, Ryan Martin, Skyler Twyman",3,2.2,5,6,-1,0,1,1,0,0.71,7,0.8,5,0.0,0,0.0,0,6,0.83,2,0,0,0,1,3
93,"Brandon Beckman, Bryce Hopkins, Ignas Masiulionis, Jackson Piotrowski, Zach Munson",1,2.2,6,9,-3,2,0,0,1,0.67,3,0.8,5,0.67,3,0.5,2,0,0.0,1,0,0,0,0,0
94,"Alec Bryan, Arrish Bhandal, Elliot Paschal, Ryan Martin, Skyler Twyman",1,2.18,2,2,0,0,0,2,2,0.5,2,0.2,5,0.0,1,0.0,1,0,0.0,3,1,0,1,2,2
95,"Elliot Paschal, Jackson Piotrowski, Skyler Twyman, Thomas Kurowski, Zach Munson",1,2.17,5,7,-2,1,1,1,0,0.75,4,0.8,5,0.0,1,0.0,0,1,1.0,1,0,0,0,1,1
96,"Brandon Beckman, Elliot Paschal, Leonardo Edo, Skyler Twyman, Zach Munson",2,2.15,7,0,7,1,1,0,1,0.67,6,0.0,1,0.0,0,0.0,1,1,1.0,1,3,1,0,1,1
97,"Brandon Beckman, Bryce Hopkins, Ezra Moos, Jackson Piotrowski, Zach Munson",1,2.13,0,0,0,0,2,0,4,0.0,6,0.0,5,0.0,3,0.0,2,0,0.0,1,0,0,0,0,1
98,"Bryce Hopkins, Jackson Piotrowski, Kerem Öztürk, Ryan Martin, Skyler Twyman",1,2.12,0,1,-1,0,2,0,1,0.0,3,0.5,2,0.0,3,0.0,0,0,0.0,1,0,0,0,2,0
99,"Bryce Hopkins, Ezra Moos, Kerem Öztürk, Skyler Twyman, Zach Munson",1,2.1,5,3,2,1,0,0,2,0.67,3,0.33,3,1.0,1,0.5,2,0,0.0,1,1,0,0,0,0
100,"Arrish Bhandal, Ezra Moos, Ignas Masiulionis, Skyler Twyman, Thomas Kurowski",1,2.08,5,6,-1,1,1,0,1,0.5,6,0.67,3,0.0,0,0.67,3,3,0.33,0,0,0,0,0,1
101,"Kerem Öztürk, Leonardo Edo, Ryan Martin, Skyler Twyman, Thomas Kurowski",1,2.08,8,2,6,2,0,1,2,1.0,3,0.25,4,1.0,2,0.0,1,0,0.0,0,0,0,1,1,0
102,"Bryce Hopkins, Ezra Moos, Jackson Piotrowski, Skyler Twyman, Thomas Kurowski",1,2.07,5,7,-2,1,1,0,1,0.4,5,0.75,4,1.0,1,0.5,2,2,0.0,1,0,0,0,0,1
103,"Bryce Hopkins, Elliot Paschal, Kerem Öztürk, Thomas Kurowski, Zach Munson",1,2.05,6,2,4,1,0,1,1,0.67,6,0.33,3,0.0,1,0.0,0,3,0.67,0,1,1,0,0,3
104,"Brandon Beckman, Jackson Piotrowski, Ryan Martin, Skyler Twyman, Zach Munson",1,2.02,7,2,5,1,0,1,2,1.0,4,0.4,5,1.0,1,0.0,0,2,1.0,0,0,0,0,1,1
105,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Leonardo Edo, Thomas Kurowski",1,2.0,3,4,-1,1,0,1,2,1.0,1,0.4,5,1.0,1,0.0,1,0,0.0,2,0,0,0,1,1
106,"Brandon Beckman, Bryce Hopkins, Ignas Masiulionis, Leonardo Edo, Zach Munson",1,2.0,6,2,4,1,1,0,0,0.75,4,1.0,1,0.0,1,0.0,0,0,0.0,0,2,2,0,0,0
107,"Brandon Beckman, Bryce Hopkins, Ezra Moos, Leonardo Edo, Ryan Martin",1,1.98,5,2,3,0,0,0,1,0.75,4,0.5,2,0.0,0,0.0,0,2,0.5,0,0,0,0,0,1
108,"Bryce Hopkins, Elliot Paschal, Leonardo Edo, Thomas Kurowski, Zach Munson",1,1.93,2,3,-1,0,0,0,2,0.5,4,0.33,3,0.0,0,0.5,2,3,0.67,1,0,0,0,0,1
109,"Alec Bryan, Elliot Paschal, Skyler Twyman, Thomas Kurowski, Zach Munson",1,1.9,4,6,-2,0,0,1,0,0.67,3,0.67,3,0.0,0,1.0,2,0,0.0,0,2,2,0,0,2
110,"Alec Bryan, Brandon Beckman, Dashiel Walker, Leonardo Edo, Zach Munson",1,1.88,3,3,0,1,0,0,2,1.0,1,0.33,3,1.0,1,0.33,3,0,0.0,2,0,0,0,0,1
111,"Brandon Beckman, Bryce Hopkins, Jackson Piotrowski, Ryan Martin, Skyler Twyman",1,1.85,1,0,1,0,0,1,2,0.25,4,0.0,3,0.0,2,0.0,2,2,0.5,0,2,0,0,0,3
