,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
14,Rochester,W,6,77.2,1.0,0.78,32-60,6-18,7-10,28-71,5-22,10-18,37,40,6.9,72.89999999999999,48.1,23.3,15.4,Brandeis
15,Total,,299,75.0,0.9,0.94,350-911,82-324,232-345,406-1011,94-326,155-246,594,636,26.4,69.0,48.3,24.3,23.3,Brandeis
0,Waynesburg,W,46,83.5,1.13,0.71,33-78,10-27,18-25,16-66,7-25,9-14,57,42,34.8,77.4,57.599999999999994,16.8,38.6,Case Western
1,at                           Mt. St. Joseph,W,13,74.7,0.91,0.73,27-66,9-28,5-11,22-64,4-18,7-17,55,32,37.5,85.1,63.2,29.4,18.6,Case Western
2,vs.                           Westminster (Mo.),W,29,70.5,1.12,0.72,30-65,14-28,5-10,18-63,5-21,9-13,45,40,32.4,68.8,52.900000000000006,22.7,27.200000000000003,Case Western
3,at                           Baldwin Wallace,L,-23,69.5,0.83,1.17,22-59,7-21,7-10,27-55,13-26,14-19,29,38,16.2,76.7,43.3,21.6,24.5,Case Western
4,vs.                           Alma,W,7,78.6,1.18,1.18,31-75,7-20,24-27,33-74,9-30,11-16,47,37,44.2,68.30000000000001,56.00000000000001,17.8,21.9,Case Western
5,at                           Wooster,W,48,75.4,1.25,0.92,39-84,8-23,8-8,16-54,4-17,10-16,43,36,38.1,73.0,54.400000000000006,9.3,46.0,Case Western
6,at                           Marietta,L,-13,71.7,0.78,0.92,18-56,9-24,11-13,19-51,4-12,27-33,27,47,17.9,57.099999999999994,36.5,27.900000000000002,29.2,Case Western
7,Allegheny,W,6,64.7,1.1,1.25,23-67,8-23,17-19,26-57,4-11,9-12,36,40,34.1,65.60000000000001,47.4,10.8,34.5,Case Western
8,at                           Kenyon,W,24,68.2,1.13,0.9,29-61,5-17,14-25,19-59,8-24,7-8,40,38,34.2,67.5,51.300000000000004,17.599999999999998,35.6,Case Western
9,at                           Denison,W,25,68.3,1.08,0.69,26-57,11-25,11-14,20-59,2-13,7-17,38,40,9.1,77.8,48.699999999999996,16.1,21.0,Case Western
10,Hilbert,W,51,71.3,1.35,0.83,37-78,13-30,9-12,16-59,4-20,9-14,47,40,33.300000000000004,73.3,54.0,7.000000000000001,44.5,Case Western
11,Carnegie Mellon,W,1,72.2,0.91,1.0,22-66,6-24,16-21,27-64,6-18,5-9,46,39,30.4,82.1,54.1,19.400000000000002,23.0,Case Western
12,at                           Rochester (N.Y.),L,-27,69.6,0.72,1.03,18-66,8-32,6-8,27-69,13-30,10-14,42,49,27.1,67.4,46.2,23.0,17.299999999999997,Case Western
13,at                           Emory,L,-20,68.0,0.85,1.26,20-68,6-29,12-20,31-65,8-22,8-12,39,49,25.0,72.2,44.3,10.299999999999999,19.400000000000002,Case Western
14,Washington (Mo.),W,10,67.2,1.1,0.89,24-55,16-32,10-16,27-62,6-23,4-12,33,40,12.1,72.5,45.2,17.8,20.8,Case Western
15,Total,,343,71.1,1.04,0.87,399-1001,137-383,173-239,344-921,97-310,146-226,624,607,29.0,72.7,50.7,18.0,25.2,Case Western
0,at Allegheny,W,25,73.5,1.13,0.89,32-72,5-16,14-15,23-64,5-18,7-14,43,32,42.9,70.0,57.3,17.7,28.999999999999996,Carnegie Mellon
1,vs. Salisbury,W,15,69.9,0.97,0.71,26-59,2-13,14-20,22-67,2-14,7-14,46,38,37.1,67.30000000000001,54.800000000000004,25.8,20.0,Carnegie Mellon
2,at Penn State-Behrend,W,4,72.3,0.94,0.87,26-59,7-19,9-12,21-58,7-18,15-17,46,23,41.9,86.8,66.7,33.2,19.1,Carnegie Mellon
3,Grove City,W,22,63.9,0.88,0.51,22-62,4-23,8-8,10-62,3-15,11-16,53,42,43.6,64.3,55.800000000000004,28.199999999999996,25.3,Carnegie Mellon
4,at Pitt.-Greensburg,W,38,63.9,1.27,0.65,31-59,7-17,12-15,15-62,5-27,8-13,48,30,43.3,72.89999999999999,61.5,21.9,18.2,Carnegie Mellon
5,at La Roche,W,34,69.3,1.28,0.94,36-68,8-14,9-14,22-57,3-11,8-14,41,24,51.7,72.2,63.1,18.8,34.1,Carnegie Mellon
6,Waynesburg,W,43,74.7,1.22,0.68,36-66,7-15,12-20,14-63,5-27,15-18,51,37,32.4,76.5,57.99999999999999,20.1,25.4,Carnegie Mellon
7,at Geneva,W,35,87.8,1.04,0.79,35-82,4-22,17-26,18-66,8-32,12-23,66,40,47.199999999999996,77.4,62.3,26.200000000000003,36.5,Carnegie Mellon
8,Washington & Jefferson,L,-8,63.5,0.76,1.01,17-65,1-27,13-14,20-56,5-21,11-16,44,41,36.7,72.2,51.800000000000004,20.5,21.5,Carnegie Mellon
9,vs. #5 Hope,L,-19,80.9,0.82,0.96,28-56,2-9,8-12,27-57,12-29,19-27,31,33,20.7,71.39999999999999,48.4,35.8,28.299999999999997,Carnegie Mellon
10,at Ohio Wesleyan,W,5,71.7,0.92,0.7,24-46,2-7,16-22,24-68,6-30,7-10,39,31,33.300000000000004,67.4,55.7,37.7,17.1,Carnegie Mellon
11,at Case Western Reserve,L,-1,72.9,0.89,0.83,27-64,6-18,5-9,22-66,6-24,16-21,39,46,17.9,69.6,45.9,20.599999999999998,17.5,Carnegie Mellon
12,at Emory,L,-2,68.7,0.96,0.95,24-61,4-14,14-15,23-64,11-24,11-15,39,37,27.800000000000004,72.5,51.300000000000004,20.4,14.000000000000002,Carnegie Mellon
13,at #10 Rochester,L,-26,76.1,0.84,1.09,18-60,6-18,22-28,31-70,8-25,20-21,43,41,33.300000000000004,71.8,51.2,28.9,15.7,Carnegie Mellon
14,#10 Chicago,L,-26,68.8,0.92,1.01,19-48,3-12,22-31,34-75,13-29,8-15,33,46,23.5,55.60000000000001,41.8,26.200000000000003,13.600000000000001,Carnegie Mellon
15,Total,,303,71.3,1.0,0.87,401-927,68-244,195-261,326-955,99-344,175-254,662,541,35.8,71.0,55.0,25.8,22.7,Carnegie Mellon
