,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
17,UAA Total,,79,71.2,1.14,1.13,206-453,59-193,99-143,202-442,54-170,99-135,261,257,26.9,74.0,50.4,15.3,16.6,Case Western
18,Total,,267,69.7,1.21,1.04,515-1108,162-481,239-320,449-1060,127-418,205-279,690,587,32.7,74.6,54.0,16.8,19.0,Case Western
0,La Roche,W,6,71.7,1.02,0.92,25-62,4-19,19-31,26-73,9-31,6-9,55,36,35.699999999999996,81.6,60.4,19.5,12.3,Carnegie Mellon
1,Washington & Jefferson,W,8,80.9,1.0,0.77,27-60,11-32,16-21,27-74,7-23,12-23,55,37,37.8,74.5,59.8,35.9,13.700000000000001,Carnegie Mellon
2,at Walsh,L,-15,64.2,0.97,0.91,21-45,11-24,9-18,28-69,11-34,10-11,29,39,13.8,64.1,42.6,28.000000000000004,9.5,Carnegie Mellon
3,at Denison,W,8,84.6,1.16,1.12,35-70,3-13,25-32,34-76,19-49,3-9,45,39,25.6,77.8,53.6,16.6,18.6,Carnegie Mellon
4,at Oberlin,W,19,75.3,1.16,1.0,28-64,10-24,21-26,26-64,11-33,5-8,41,37,23.1,82.1,52.6,15.9,26.6,Carnegie Mellon
5,Penn St.-Behrend,W,11,65.8,0.96,0.84,22-61,4-13,15-24,16-61,9-38,11-15,51,42,26.1,83.0,54.800000000000004,13.700000000000001,14.499999999999998,Carnegie Mellon
6,vs. #13 Middlebury,L,-6,70.7,0.96,1.07,28-69,3-16,9-15,23-59,3-13,25-34,37,47,22.7,67.5,44.0,11.3,15.9,Carnegie Mellon
7,vs. Bowdoin,W,13,73.5,1.07,0.74,26-58,7-24,20-24,26-78,7-35,7-16,44,48,17.599999999999998,65.5,47.8,19.0,15.7,Carnegie Mellon
8,at Geneva,L,-3,65.4,0.75,0.93,18-66,1-19,12-14,19-55,2-21,12-17,47,41,28.599999999999998,84.6,53.400000000000006,15.299999999999999,17.8,Carnegie Mellon
9,Chatham,W,17,71.9,1.25,0.92,31-57,9-17,19-27,28-74,12-39,5-6,42,36,19.400000000000002,76.6,53.800000000000004,16.7,12.6,Carnegie Mellon
10,vs. #22 Heidelberg,L,-6,73.9,1.15,1.28,36-73,7-23,6-9,32-68,16-33,11-14,41,31,44.4,69.39999999999999,56.89999999999999,21.7,16.900000000000002,Carnegie Mellon
11,vs. Albion,W,3,80.8,1.14,1.03,33-63,5-16,21-30,35-74,10-20,9-19,46,37,33.300000000000004,72.3,55.400000000000006,24.7,18.4,Carnegie Mellon
12,at #9 Case Western Reserve,L,-5,69.5,0.99,1.07,25-60,7-22,12-19,26-58,5-25,17-23,36,36,21.6,80.0,50.0,17.299999999999997,15.9,Carnegie Mellon
13,at #16 Emory,W,7,76.8,1.02,0.8,24-67,8-26,22-25,28-83,3-24,12-17,47,53,29.5,60.699999999999996,47.0,19.5,16.900000000000002,Carnegie Mellon
14,at #9 Rochester,L,-3,69.3,1.05,1.16,27-57,6-19,13-14,28-52,7-18,13-17,26,31,16.7,77.8,45.6,20.200000000000003,27.400000000000002,Carnegie Mellon
15,Chicago,W,6,66.2,1.0,0.93,26-55,4-7,10-18,21-55,8-29,10-14,34,36,21.2,73.0,48.6,19.6,31.0,Carnegie Mellon
16,#22 WashU,W,13,68.9,1.03,0.84,22-56,10-23,17-20,23-62,7-20,5-7,41,36,21.6,82.5,53.2,21.8,21.7,Carnegie Mellon
17,at NYU,L,-24,67.4,0.82,1.12,20-58,2-11,13-21,30-65,9-33,10-13,36,40,23.799999999999997,76.5,47.4,19.3,11.3,Carnegie Mellon
18,at Brandeis,W,1,62.9,1.03,0.94,23-46,7-13,12-17,24-55,9-20,7-9,33,23,20.8,87.5,58.9,27.0,19.1,Carnegie Mellon
19,UAA Total,,67,69.9,1.0,0.98,194-459,55-153,115-155,207-504,55-192,86-123,308,292,24.6,75.3,51.3,22.9,20.0,Carnegie Mellon
20,Total,,174,71.2,1.04,1.0,497-1147,119-361,291-405,500-1255,164-538,190-281,786,725,26.0,75.1,52.0,20.3,18.0,Carnegie Mellon
