,Lineup,GP,MP,PTS,OPP PTS,+/-,AST,OREB,OPP OREB,DREB,FG%,FGA,OPP FG%,OPP FGA,3P%,3PA,OPP 3P%,3PA,FTA,FT%,TO,OPP TO,STL,BLK,PF,OPP PF
84,"Alina Brennan, Ashley Gao, Bella Alfaro, Isabelle Herrera, Ryan Shepherd",1,1.68,6,0,6,0,0,0,1,1.0,3,0.0,1,0.0,0,0.0,0,0,0.0,0,2,2,0,0,0
85,"Alina Brennan, Ashley Gao, Bella Alfaro, Ellie Vermilion, Ryan Shepherd",1,1.67,0,0,0,0,1,0,1,0.0,1,0.0,1,0.0,0,0.0,1,0,0.0,1,1,0,0,0,1
86,"Bella Alfaro, Ellie Vermilion, Kati Heller, Marissa Powe, Sophia North",1,1.6,3,2,1,1,0,0,1,0.5,2,0.67,3,1.0,1,0.0,1,0,0.0,1,2,1,0,2,0
87,"Ellie Gross, Grace Hynes, Kati Heller, Klaire Steffens, Mallory Brodnik",2,1.6,4,0,4,1,1,0,2,0.67,3,0.0,2,0.0,1,0.0,1,0,0.0,1,1,1,0,1,0
88,"Elizabeth Shaw, Kati Heller, Klaire Steffens, Marissa Powe, Sophia North",1,1.57,4,4,0,1,2,0,0,0.5,4,1.0,2,0.0,0,0.0,0,0,0.0,0,1,0,0,0,1
89,"Alina Brennan, Blair Penn, Ellie Vermilion, Isabelle Herrera, Kati Heller",1,1.55,0,3,-3,0,1,0,1,0.0,2,0.5,2,0.0,1,1.0,1,0,0.0,1,0,0,0,0,0
90,"Ashley Gao, Elizabeth Shaw, Grace Hynes, Mallory Brodnik, Marissa Powe",1,1.5,0,4,-4,0,1,1,1,0.0,5,0.6,5,0.0,0,0.0,0,2,0.0,0,0,0,0,3,1
91,"Ashley Gao, Grace Hynes, Mallory Brodnik, Marissa Powe, Sophia North",1,1.5,2,2,0,0,0,0,1,0.5,2,0.5,2,0.0,1,0.0,0,0,0.0,1,1,0,0,0,1
92,"Bella Alfaro, Mallory Brodnik, Marissa Powe, Ryan Shepherd, Sophia North",1,1.48,3,0,3,1,0,0,3,0.4,5,0.0,3,0.0,0,0.0,0,3,0.33,0,0,0,0,1,3
93,"Ashley Gao, Elizabeth Shaw, Klaire Steffens, Peyton Van Soest, Sophia North",1,1.4,3,2,1,0,1,0,0,0.5,4,1.0,1,0.0,1,0.0,0,2,0.5,0,1,1,0,0,1
94,"Ellie Gross, Grace Hynes, Kati Heller, Mallory Brodnik, Marissa Powe",2,1.4,4,0,4,0,0,1,1,1.0,3,0.0,2,0.0,0,0.0,2,2,1.0,0,1,0,0,1,1
95,"Ashley Gao, Grace Hynes, Klaire Steffens, Marissa Powe, Sophia North",1,1.37,2,2,0,0,0,0,2,0.5,2,0.33,3,0.0,1,0.0,1,0,0.0,0,0,0,0,0,1
96,"Grace Hynes, Kati Heller, Klaire Steffens, Mallory Brodnik, Marissa Powe",1,1.3,2,0,2,1,1,0,1,0.33,3,0.0,1,0.0,1,0.0,1,0,0.0,0,2,2,0,0,0
97,"Ellie Gross, Kati Heller, Mallory Brodnik, Marissa Powe, Sophia North",1,1.3,2,5,-3,1,1,0,0,0.33,3,1.0,3,0.0,2,0.0,0,0,0.0,0,0,0,0,1,0
98,"Bella Alfaro, Ellie Vermilion, Kati Heller, Marissa Powe, Ryan Shepherd",1,1.27,0,2,-2,0,0,2,1,0.0,1,0.25,4,0.0,0,0.0,0,0,0.0,1,0,0,0,0,0
99,"Alina Brennan, Bella Alfaro, Blair Penn, Ellie Vermilion, Isabelle Herrera",1,1.23,2,2,0,0,0,0,0,1.0,1,1.0,2,0.0,0,0.0,0,0,0.0,1,1,1,0,2,0
100,"Grace Hynes, Kati Heller, Mallory Brodnik, Marissa Powe, Sophia North",1,1.18,0,6,-6,0,0,0,0,0.0,1,1.0,2,0.0,0,1.0,2,0,0.0,1,0,0,0,0,0
101,"Bella Alfaro, Blair Penn, Ellie Vermilion, Klaire Steffens, Mallory Brodnik",1,1.17,0,1,-1,0,0,1,0,0.0,2,0.5,2,0.0,0,0.0,0,0,0.0,0,1,1,0,1,0
102,"Ellie Gross, Kati Heller, Klaire Steffens, Peyton Van Soest, Sophia North",1,1.13,2,0,2,1,1,0,0,0.5,2,0.0,0,0.0,0,0.0,0,0,0.0,1,1,0,0,0,2
103,"Elizabeth Shaw, Grace Hynes, Klaire Steffens, Mallory Brodnik, Sophia North",1,1.07,4,0,4,1,0,0,1,0.75,4,0.0,1,0.0,0,0.0,0,3,0.67,1,0,0,0,0,2
104,"Ashley Gao, Bella Alfaro, Klaire Steffens, Peyton Van Soest, Sophia North",1,1.02,0,1,-1,0,1,0,2,0.0,1,0.25,4,0.0,0,0.0,1,0,0.0,2,0,0,0,1,0
