,Lineup,GP,MP,POSS,OPP POSS,PPP,OPP PPP,PTS DIFF PER80,REB,OPP REB,ORB%,DRB%,RB%,TO%
99,"Alina Brennan, Bella Alfaro, Blair Penn, Ellie Vermilion, Isabelle Herrera",1,1.23,1.92,3.7247999999999997,1.0416666666666667,0.5369415807560138,40.37800687285223,0,0,,,,0.5
100,"Grace Hynes, Kati Heller, Mallory Brodnik, Marissa Powe, Sophia North",1,1.18,1.92,1.92,0.0,3.125,-250.0,0,1,0.0,,0.0,0.5
101,"Bella Alfaro, Blair Penn, Ellie Vermilion, Klaire Steffens, Mallory Brodnik",1,1.17,1.92,2.7647999999999997,0.0,0.3616898148148149,-28.93518518518519,0,3,0.0,0.0,0.0,0.0
102,"Ellie Gross, Kati Heller, Klaire Steffens, Peyton Van Soest, Sophia North",1,1.13,1.92,0.96,1.0416666666666667,0.0,83.33333333333334,1,0,1.0,,1.0,0.3333333333333333
103,"Elizabeth Shaw, Grace Hynes, Klaire Steffens, Mallory Brodnik, Sophia North",1,1.07,6.0672,0.96,0.6592827004219409,0.0,52.742616033755276,1,0,,1.0,1.0,0.1582278481012658
104,"Ashley Gao, Bella Alfaro, Klaire Steffens, Peyton Van Soest, Sophia North",1,1.02,1.92,4.6848,0.0,0.21345628415300547,-17.07650273224044,3,0,1.0,1.0,1.0,0.6666666666666666
105,"Ellie Gross, Kati Heller, Klaire Steffens, Mallory Brodnik, Marissa Powe",1,1.0,0.96,0.96,0.0,3.125,-250.0,0,0,,,,1.0
106,"Ashley Gao, Bella Alfaro, Grace Hynes, Mallory Brodnik, Marissa Powe",1,1.0,0.96,1.92,0.0,0.0,0.0,0,1,0.0,,0.0,0.0
107,"Ashley Gao, Elizabeth Shaw, Kati Heller, Marissa Powe, Sophia North",1,0.98,1.92,1.92,0.0,1.0416666666666667,-83.33333333333334,0,1,0.0,,0.0,0.5
108,"Ashley Gao, Ellie Gross, Mallory Brodnik, Peyton Van Soest, Sophia North",1,0.83,5.529599999999999,3.7247999999999997,0.7233796296296298,0.0,57.87037037037038,2,1,,0.6666666666666666,0.6666666666666666,0.0
109,"Elizabeth Shaw, Kati Heller, Mallory Brodnik, Marissa Powe, Peyton Van Soest",1,0.83,1.92,1.92,0.0,0.0,0.0,1,2,0.0,1.0,0.3333333333333333,0.0
110,"Ashley Gao, Grace Hynes, Klaire Steffens, Marissa Powe, Peyton Van Soest",1,0.82,1.92,0.96,2.604166666666667,0.0,208.33333333333337,1,0,,1.0,1.0,0.0
111,"Ashley Gao, Grace Hynes, Mallory Brodnik, Marissa Powe, Peyton Van Soest",1,0.8,2.88,1.92,0.0,0.0,0.0,1,2,0.3333333333333333,,0.3333333333333333,0.25
112,"Bella Alfaro, Kati Heller, Klaire Steffens, Peyton Van Soest, Sophia North",2,0.78,0.0,0.96,,2.0833333333333335,,2,1,1.0,0.0,0.6666666666666666,0.0
113,"Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik",2,0.77,2.7647999999999997,0.96,1.4467592592592595,2.0833333333333335,-50.92592592592592,1,1,1.0,0.0,0.5,0.0
114,"Ashley Gao, Bella Alfaro, Mallory Brodnik, Marissa Powe, Sophia North",1,0.75,1.92,0.96,0.0,2.0833333333333335,-166.66666666666669,0,2,0.0,,0.0,0.0
115,"Ellie Gross, Grace Hynes, Klaire Steffens, Marissa Powe, Peyton Van Soest",1,0.73,0.0,0.96,,2.0833333333333335,,0,0,,,,
116,"Blair Penn, Ellie Gross, Isabelle Herrera, Klaire Steffens, Mallory Brodnik",1,0.68,0.96,3.7247999999999997,0.0,0.0,0.0,2,1,0.0,1.0,0.6666666666666666,0.0
117,"Alina Brennan, Bella Alfaro, Isabelle Herrera, Kati Heller, Marissa Powe",1,0.68,0.96,0.96,0.0,0.0,0.0,1,1,0.5,,0.5,0.0
118,"Ashley Gao, Ellie Gross, Grace Hynes, Kati Heller, Marissa Powe",1,0.6,0.96,2.7647999999999997,0.0,0.7233796296296298,-57.87037037037038,0,2,0.0,,0.0,0.0
119,"Alison Gill, Ellie Gross, Grace Hynes, Isabelle Herrera, Mallory Brodnik",1,0.58,0.96,0.96,2.0833333333333335,2.0833333333333335,0.0,1,0,1.0,,1.0,0.0
120,"Ellie Gross, Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Sophia North",2,0.55,1.92,3.7247999999999997,0.0,1.0738831615120277,-85.9106529209622,0,2,0.0,,0.0,0.0
121,"Ellie Gross, Grace Hynes, Kati Heller, Mallory Brodnik, Sophia North",1,0.53,0.96,2.7647999999999997,2.0833333333333335,0.3616898148148149,137.7314814814815,0,1,,0.0,0.0,0.0
122,"Alina Brennan, Elizabeth Shaw, Grace Hynes, Isabelle Herrera, Klaire Steffens",1,0.5,0.96,2.7647999999999997,0.0,0.7233796296296298,-57.87037037037038,1,1,0.5,,0.5,0.0
123,"Ellie Gross, Grace Hynes, Klaire Steffens, Marissa Powe, Sophia North",1,0.48,3.7247999999999997,0.96,1.0738831615120277,0.0,85.9106529209622,1,0,,1.0,1.0,0.0
124,"Bella Alfaro, Grace Hynes, Kati Heller, Klaire Steffens, Sophia North",1,0.43,2.7647999999999997,1.8047999999999997,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0
125,"Alina Brennan, Elizabeth Shaw, Kati Heller, Klaire Steffens, Marissa Powe",1,0.42,2.7647999999999997,1.92,0.7233796296296298,0.0,57.87037037037038,2,0,,1.0,1.0,0.0
126,"Ashley Gao, Elizabeth Shaw, Kati Heller, Marissa Powe, Peyton Van Soest",1,0.38,0.96,1.92,2.0833333333333335,1.0416666666666667,83.33333333333334,0,0,,,,0.0
127,"Bella Alfaro, Kati Heller, Klaire Steffens, Mallory Brodnik, Marissa Powe",2,0.35,0.0,0.0,,,,0,0,,,,
128,"Bella Alfaro, Ellie Vermilion, Isabelle Herrera, Kati Heller, Marissa Powe",1,0.35,0.0,2.7647999999999997,,0.7233796296296298,,0,0,,,,
129,"Elizabeth Shaw, Kati Heller, Klaire Steffens, Marissa Powe, Peyton Van Soest",1,0.28,0.0,0.0,,,,0,1,,0.0,0.0,
130,"Blair Penn, Ellie Gross, Isabelle Herrera, Kati Heller, Mallory Brodnik",1,0.28,0.96,0.0,0.0,,,0,1,0.0,,0.0,0.0
131,"Alina Brennan, Ashley Gao, Bella Alfaro, Ellie Vermilion, Isabelle Herrera",1,0.23,0.96,0.96,2.0833333333333335,0.0,166.66666666666669,0,0,,,,0.0
132,"Alina Brennan, Elizabeth Shaw, Grace Hynes, Kati Heller, Klaire Steffens",1,0.22,0.96,2.7647999999999997,2.0833333333333335,0.7233796296296298,108.7962962962963,0,0,,,,0.0
133,"Alina Brennan, Ashley Gao, Elizabeth Shaw, Isabelle Herrera, Sophia North",1,0.15,0.96,0.0,0.0,,,0,1,0.0,,0.0,0.0
134,"Elizabeth Shaw, Ellie Gross, Klaire Steffens, Mallory Brodnik, Peyton Van Soest",1,0.12,0.0,0.96,,0.0,,1,0,,1.0,1.0,
135,"Elizabeth Shaw, Klaire Steffens, Mallory Brodnik, Marissa Powe, Sophia North",1,0.08,0.0,0.0,,,,0,0,,,,
136,"Grace Hynes, Mallory Brodnik, Marissa Powe, Peyton Van Soest, Sophia North",1,0.05,0.96,0.0,0.0,,,0,0,,,,1.0
137,"Alina Brennan, Grace Hynes, Isabelle Herrera, Klaire Steffens, Marissa Powe",1,0.02,0.0,0.96,,0.0,,0,0,,,,
138,"Ashley Gao, Bella Alfaro, Kati Heller, Mallory Brodnik, Sophia North",1,0.0,0.0,0.0,,,,0,0,,,,
139,"Ashley Gao, Bella Alfaro, Kati Heller, Peyton Van Soest, Sophia North",1,0.0,0.0,0.0,,,,0,0,,,,
140,"Bella Alfaro, Ellie Gross, Kati Heller, Klaire Steffens, Peyton Van Soest",1,0.0,0.0,0.0,,,,0,0,,,,
141,"Ashley Gao, Bella Alfaro, Kati Heller, Klaire Steffens, Peyton Van Soest",1,0.0,0.0,0.0,,,,0,0,,,,
142,"Ashley Gao, Bella Alfaro, Kati Heller, Marissa Powe, Peyton Van Soest",1,0.0,0.0,0.0,,,,0,0,,,,
143,"Ashley Gao, Bella Alfaro, Ellie Gross, Mallory Brodnik, Marissa Powe",1,0.0,0.0,0.0,,,,0,0,,,,
144,"Bella Alfaro, Grace Hynes, Kati Heller, Marissa Powe, Sophia North",1,0.0,0.0,0.0,,,,0,0,,,,
145,"Ashley Gao, Bella Alfaro, Ellie Gross, Kati Heller, Marissa Powe",1,0.0,0.0,0.0,,,,0,0,,,,
146,"Ashley Gao, Ellie Gross, Kati Heller, Mallory Brodnik, Marissa Powe",2,0.0,0.0,0.0,,,,0,0,,,,
147,"Ashley Gao, Bella Alfaro, Kati Heller, Mallory Brodnik, Marissa Powe",1,0.0,0.0,0.0,,,,0,0,,,,
148,"Bella Alfaro, Ellie Gross, Kati Heller, Mallory Brodnik, Marissa Powe",1,0.0,0.0,0.0,,,,0,0,,,,
149,"Ashley Gao, Ellie Gross, Kati Heller, Marissa Powe, Peyton Van Soest",1,0.0,0.0,0.0,,,,0,0,,,,
150,"Ashley Gao, Elizabeth Shaw, Ellie Gross, Klaire Steffens, Marissa Powe",1,0.0,0.0,0.0,,,,0,0,,,,
