,Time,Action,Team
285,06:27,"Turnover by OHM,LULU",Opponent
286,06:25,"Steal by AUZA,MARIANE",Emory
287,06:17,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
288,06:17,"Assist by AUZA,MARIANE",Emory
289,06:02,"OBAR,MOLLIE missed 3-pt. jump shot",Opponent
290,06:02,"PIERRE,TATHIANA offensive rebound",Opponent
291,05:46,"MARCHESE,FRANCESCA missed layup",Opponent
292,05:46,"MARTIN,ERIN defensive rebound",Emory
293,05:39,"MUNSON,IZZY made layup",Emory
294,05:39,"Assist by AUZA,MARIANE",Emory
295,05:25,"Turnover by MARCHESE,FRANCESCA",Opponent
296,05:25,"KENNEDY,LILY
                                 enters the game",Emory
297,05:25,"GROSS,PAIGE
                                 enters the game",Emory
298,05:25,"LAUDICK,MORGAN
                                 goes to the bench",Emory
299,05:25,"AUZA,MARIANE
                                 goes to the bench",Emory
300,05:25,"WILLIAMS,MAYA
                                 enters the game",Opponent
301,05:25,"KENNEDY,ABBY
                                 enters the game",Opponent
302,05:25,"GONZALEZ,SELENYA
                                 enters the game",Opponent
303,05:25,"MIRES,LILY
                                 enters the game",Opponent
304,05:25,"PIERRE,TATHIANA
                                 goes to the bench",Opponent
305,05:25,"MARCHESE,FRANCESCA
                                 goes to the bench",Opponent
306,05:25,"SMALLY,SHANNON
                                 goes to the bench",Opponent
307,05:25,"OHM,LULU
                                 goes to the bench",Opponent
308,05:15,"GROSS,PAIGE missed 3-pt. jump shot",Emory
309,05:15,"WILLIAMS,MAYA defensive rebound",Opponent
310,05:02,"OBAR,MOLLIE missed 3-pt. jump shot",Opponent
311,05:02,"GONZALEZ,SELENYA offensive rebound",Opponent
312,04:52,"Foul by MARTIN,ERIN",Emory
313,04:52,"MIRES,LILY made free throw",Opponent
314,04:52,"MIRES,LILY missed free throw",Opponent
315,04:52,"MARTIN,ERIN defensive rebound",Emory
316,04:38,"MUNSON,IZZY missed layup",Emory
317,04:38,"KENNEDY,ABBY defensive rebound",Opponent
318,04:37,"BROCK,CLAIRE
                                 enters the game",Emory
319,04:37,"ARONSKY,DANIELLA
                                 goes to the bench",Emory
320,04:22,"Foul by KENNEDY,LILY",Emory
321,04:22,"GONZALEZ,SELENYA made free throw",Opponent
322,04:22,"GONZALEZ,SELENYA made free throw",Opponent
323,04:14,"MARTIN,ERIN missed 3-pt. jump shot",Emory
324,04:14,"WILLIAMS,MAYA defensive rebound",Opponent
325,04:05,"MIRES,LILY missed jump shot",Opponent
326,04:05,"MARTIN,ERIN defensive rebound",Emory
327,03:51,"MARTIN,ERIN made layup",Emory
328,03:51,"Assist by KENNEDY,LILY",Emory
329,03:51,"Foul by MIRES,LILY",Opponent
330,03:51,"MARTIN,ERIN missed free throw",Emory
331,03:51,"OBAR,MOLLIE defensive rebound",Opponent
332,03:48,"Foul by MARTIN,ERIN",Emory
333,03:47,"LOWNDES,CHARLOTTE
                                 enters the game",Emory
334,03:47,"LAUDICK,MORGAN
                                 enters the game",Emory
335,03:47,"MARTIN,ERIN
                                 goes to the bench",Emory
336,03:47,"MUNSON,IZZY
                                 goes to the bench",Emory
337,03:40,"JAMES,MOLLY
                                 enters the game",Opponent
338,03:40,"OBAR,MOLLIE
                                 goes to the bench",Opponent
339,03:33,"Foul by BROCK,CLAIRE",Emory
340,03:33,"KENNEDY,ABBY made free throw",Opponent
341,03:33,"KENNEDY,ABBY missed free throw",Opponent
342,03:33,"LAUDICK,MORGAN defensive rebound",Emory
343,03:33,"KENNEDY,LILY missed layup",Emory
344,03:33,"JAMES,MOLLY defensive rebound",Opponent
345,03:33,"KENNEDY,ABBY missed 3-pt. jump shot",Opponent
346,03:33,"BROCK,CLAIRE defensive rebound",Emory
347,03:33,"LOWNDES,CHARLOTTE missed 3-pt. jump shot",Emory
348,03:33,"JAMES,MOLLY defensive rebound",Opponent
349,03:32,"Turnover by KENNEDY,ABBY",Opponent
350,03:26,"MARTINI,KATHERINE
                                 enters the game",Emory
351,03:26,"LAUDICK,MORGAN
                                 goes to the bench",Emory
352,02:32,"GROSS,PAIGE missed 3-pt. jump shot",Emory
353,02:32,"JAMES,MOLLY defensive rebound",Opponent
354,02:22,"GONZALEZ,SELENYA missed layup",Opponent
355,02:22,TEAM defensive rebound,Emory
356,02:05,"BROCK,CLAIRE missed layup",Emory
357,02:05,"JAMES,MOLLY defensive rebound",Opponent
358,01:54,"Foul by KENNEDY,LILY",Emory
359,01:54,"KENNEDY,ABBY made free throw",Opponent
360,01:54,"KENNEDY,ABBY made free throw",Opponent
361,01:54,"CELLER,CHLOE
                                 enters the game",Opponent
362,01:54,"OHM,LULU
                                 enters the game",Opponent
363,01:54,"KENNEDY,ABBY
                                 goes to the bench",Opponent
364,01:54,"GONZALEZ,SELENYA
                                 goes to the bench",Opponent
365,01:38,"MARTINI,KATHERINE missed layup",Emory
