,X,Y,Region
176,0.0,35.2,Out of Bounds
177,0.0,35.4,Out of Bounds
178,0.0,35.6,Out of Bounds
179,0.0,35.800000000000004,Out of Bounds
180,0.0,36.0,Out of Bounds
181,0.0,36.2,Out of Bounds
182,0.0,36.4,Out of Bounds
183,0.0,36.6,Out of Bounds
184,0.0,36.800000000000004,Out of Bounds
185,0.0,37.0,Out of Bounds
186,0.0,37.2,Out of Bounds
187,0.0,37.4,Out of Bounds
188,0.0,37.6,Out of Bounds
189,0.0,37.800000000000004,Out of Bounds
190,0.0,38.0,Out of Bounds
191,0.0,38.2,Out of Bounds
192,0.0,38.400000000000006,Out of Bounds
193,0.0,38.6,Out of Bounds
194,0.0,38.800000000000004,Out of Bounds
195,0.0,39.0,Out of Bounds
196,0.0,39.2,Out of Bounds
197,0.0,39.400000000000006,Out of Bounds
198,0.0,39.6,Out of Bounds
199,0.0,39.800000000000004,Out of Bounds
200,0.0,40.0,Out of Bounds
201,0.0,40.2,Out of Bounds
202,0.0,40.400000000000006,Out of Bounds
203,0.0,40.6,Out of Bounds
204,0.0,40.800000000000004,Out of Bounds
205,0.0,41.0,Out of Bounds
206,0.0,41.2,Out of Bounds
207,0.0,41.400000000000006,Out of Bounds
208,0.0,41.6,Out of Bounds
209,0.0,41.800000000000004,Out of Bounds
210,0.0,42.0,Out of Bounds
211,0.0,42.2,Out of Bounds
212,0.0,42.400000000000006,Out of Bounds
213,0.0,42.6,Out of Bounds
214,0.0,42.800000000000004,Out of Bounds
215,0.0,43.0,Out of Bounds
216,0.0,43.2,Out of Bounds
217,0.0,43.400000000000006,Out of Bounds
218,0.0,43.6,Out of Bounds
219,0.0,43.800000000000004,Out of Bounds
220,0.0,44.0,Out of Bounds
221,0.0,44.2,Out of Bounds
222,0.0,44.400000000000006,Out of Bounds
223,0.0,44.6,Out of Bounds
224,0.0,44.800000000000004,Out of Bounds
225,0.0,45.0,Out of Bounds
226,0.0,45.2,Out of Bounds
227,0.0,45.400000000000006,Out of Bounds
228,0.0,45.6,Out of Bounds
229,0.0,45.800000000000004,Out of Bounds
230,0.0,46.0,Out of Bounds
231,0.0,46.2,Out of Bounds
232,0.0,46.400000000000006,Out of Bounds
233,0.0,46.6,Out of Bounds
234,0.0,46.800000000000004,Out of Bounds
235,0.2,0.0,Out of Bounds
236,0.2,0.2,Left Corner
237,0.2,0.4,Left Corner
238,0.2,0.6000000000000001,Left Corner
239,0.2,0.8,Left Corner
240,0.2,1.0,Left Corner
241,0.2,1.2000000000000002,Left Corner
242,0.2,1.4000000000000001,Left Corner
243,0.2,1.6,Left Corner
244,0.2,1.8,Left Corner
245,0.2,2.0,Left Corner
246,0.2,2.2,Left Corner
247,0.2,2.4000000000000004,Left Corner
248,0.2,2.6,Left Corner
249,0.2,2.8000000000000003,Left Corner
250,0.2,3.0,Left Corner
251,0.2,3.2,Left Corner
252,0.2,3.4000000000000004,Left Corner
253,0.2,3.6,Left Corner
254,0.2,3.8000000000000003,Left Corner
255,0.2,4.0,Left Corner
256,0.2,4.2,Left Corner
257,0.2,4.4,Left Corner
258,0.2,4.6000000000000005,Left Corner
259,0.2,4.800000000000001,Left Corner
260,0.2,5.0,Left Corner
261,0.2,5.2,Left Corner
262,0.2,5.4,Left Corner
263,0.2,5.6000000000000005,Left Corner
264,0.2,5.800000000000001,Left Corner
265,0.2,6.0,Left Corner
266,0.2,6.2,Left Corner
267,0.2,6.4,Left Corner
268,0.2,6.6000000000000005,Left Corner
269,0.2,6.800000000000001,Left Corner
270,0.2,7.0,Left Corner
271,0.2,7.2,Left Corner
272,0.2,7.4,Left Corner
273,0.2,7.6000000000000005,Left Corner
274,0.2,7.800000000000001,Left Corner
275,0.2,8.0,Left Corner
276,0.2,8.200000000000001,Left Corner
277,0.2,8.4,Left Corner
278,0.2,8.6,Left Corner
